filename, fileSize [kb], RoIs, capture [ms], resize [ms], faceDetect [ms], writeToDisk[ms], encryption [ms]
50-image0040-640x480.jpg, 22374, 8, 56.5600395203, 37.8379821777, 1763.23413849, 150.285005569, 121.172904968
50-image0041-640x480.jpg, 21007, 8, 58.2621097565, 38.7160778046, 2356.75311089, 131.629943848, 115.087032318
50-image0042-640x480.jpg, 21501, 8, 56.205034256, 37.3599529266, 1755.18107414, 149.523973465, 117.550849915
50-image0043-640x480.jpg, 21888, 8, 55.5469989777, 36.5149974823, 1744.19903755, 135.787010193, 120.640993118
50-image0044-640x480.jpg, 21827, 8, 55.6240081787, 38.9530658722, 1734.77387428, 152.906894684, 122.581958771
50-image0045-640x480.jpg, 21104, 8, 58.0060482025, 36.6950035095, 2057.73496628, 147.77302742, 128.63111496
50-image0046-640x480.jpg, 20847, 8, 56.0870170593, 37.2910499573, 1732.93709755, 131.636142731, 115.890026093
50-image0047-640x480.jpg, 21186, 8, 56.5638542175, 43.897151947, 1738.30389977, 131.021022797, 123.369932175
50-image0048-640x480.jpg, 20712, 8, 57.3470592499, 37.789106369, 1747.59602547, 132.565021515, 119.329929352
50-image0049-640x480.jpg, 20156, 8, 62.4752044678, 37.0531082153, 1745.11909485, 136.250972748, 117.136955261
50-image0050-640x480.jpg, 20722, 8, 60.3039264679, 52.9639720917, 1742.09094048, 131.937026978, 117.866039276
50-image0051-640x480.jpg, 21219, 8, 55.9771060944, 36.504983902, 1748.71301651, 131.585121155, 119.704008102
50-image0052-640x480.jpg, 21217, 8, 61.1109733582, 38.0840301514, 1751.912117, 131.994009018, 118.144035339
50-image0053-640x480.jpg, 20745, 8, 72.6110935211, 36.7360115051, 1839.9810791, 131.278038025, 115.694046021
50-image0054-640x480.jpg, 20469, 8, 56.4141273499, 37.5461578369, 1743.97492409, 131.270170212, 121.327161789
50-image0055-640x480.jpg, 21307, 8, 61.4058971405, 36.5331172943, 1707.8909874, 131.768941879, 116.33181572
50-image0056-640x480.jpg, 21259, 8, 56.6840171814, 37.5669002533, 1751.78480148, 131.48188591, 119.062185287
50-image0057-640x480.jpg, 20910, 8, 57.4429035187, 36.8978977203, 2096.06099129, 134.307146072, 122.885942459
50-image0058-640x480.jpg, 21315, 8, 59.9241256714, 37.5869274139, 1826.67088509, 143.434047699, 125.986099243
50-image0059-640x480.jpg, 21591, 8, 60.7528686523, 38.3548736572, 1738.84010315, 137.044906616, 122.822999954
50-image0060-640x480.jpg, 21569, 8, 55.7880401611, 37.4450683594, 1776.30114555, 137.096166611, 120.014190674
50-image0061-640x480.jpg, 20685, 8, 61.1011981964, 36.9429588318, 1732.95402527, 137.243032455, 118.222951889
50-image0062-640x480.jpg, 21205, 8, 55.7899475098, 37.7070903778, 1767.12393761, 136.682987213, 118.782997131
50-image0063-640x480.jpg, 21770, 8, 56.0600757599, 36.5290641785, 1731.11701012, 131.405115128, 120.710849762
50-image0064-640x480.jpg, 21679, 8, 55.8559894562, 37.4250411987, 1722.48601913, 131.273031235, 119.405031204
50-image0065-640x480.jpg, 20945, 8, 56.1010837555, 36.9508266449, 1748.29483032, 131.216049194, 115.586996078
50-image0066-640x480.jpg, 20732, 8, 55.6859970093, 38.7101173401, 1775.97904205, 131.386041641, 119.248151779
50-image0067-640x480.jpg, 21489, 8, 55.9401512146, 36.642074585, 1759.77087021, 131.685018539, 116.464853287
50-image0068-640x480.jpg, 21666, 8, 55.8919906616, 38.1481647491, 1771.90208435, 132.038831711, 121.450185776
50-image0069-640x480.jpg, 20492, 8, 63.1699562073, 36.5211963654, 1858.65306854, 142.758846283, 128.445863724
50-image0070-640x480.jpg, 20973, 8, 55.7599067688, 47.4209785461, 1740.83805084, 139.910936356, 127.104997635
50-image0071-640x480.jpg, 21426, 8, 55.8481216431, 36.8549823761, 1745.02396584, 131.375074387, 121.081829071
50-image0072-640x480.jpg, 21686, 8, 55.3109645844, 43.8311100006, 2238.84105682, 138.967990875, 118.142843246
50-image0073-640x480.jpg, 20754, 8, 68.7689781189, 36.7460250854, 1762.90106773, 137.749910355, 118.297100067
50-image0074-640x480.jpg, 21080, 8, 55.9530258179, 37.5971794128, 1723.3300209, 131.789922714, 118.9661026
50-image0075-640x480.jpg, 21551, 8, 63.5139942169, 60.2159500122, 1774.24097061, 133.033037186, 119.198083878
50-image0076-640x480.jpg, 21542, 8, 55.6061267853, 37.9660129547, 1735.19706726, 131.688117981, 119.915962219
50-image0077-640x480.jpg, 20822, 8, 57.5199127197, 36.7560386658, 1913.78998756, 268.756151199, 118.553876877
50-image0078-640x480.jpg, 20867, 8, 55.5830001831, 38.1588935852, 1910.50291061, 133.024930954, 121.708154678
50-image0079-640x480.jpg, 21595, 8, 55.6399822235, 36.4968776703, 1730.96013069, 132.006883621, 117.775917053
50-image0080-640x480.jpg, 21639, 8, 55.8321475983, 37.4438762665, 1705.78289032, 189.439058304, 118.498086929
50-image0081-640x480.jpg, 20857, 8, 57.0549964905, 36.5860462189, 1727.92005539, 133.55588913, 139.287948608
50-image0082-640x480.jpg, 20944, 8, 55.9618473053, 37.9071235657, 2160.25900841, 332.117080688, 167.510032654
50-image0083-640x480.jpg, 21605, 8, 62.1612071991, 39.6621227264, 1730.07893562, 131.3829422, 121.324062347
50-image0084-640x480.jpg, 21494, 8, 55.6199550629, 37.397146225, 1687.63589859, 131.256103516, 122.740030289
50-image0085-640x480.jpg, 20730, 8, 56.3130378723, 36.4830493927, 1814.35513496, 131.039142609, 115.779876709
50-image0086-640x480.jpg, 21238, 8, 62.9298686981, 37.4829769135, 1777.41408348, 131.816148758, 119.019031525
50-image0087-640x480.jpg, 21781, 8, 113.606929779, 36.4949703217, 1693.68815422, 134.327173233, 119.705915451
50-image0088-640x480.jpg, 21621, 8, 55.7589530945, 37.5928878784, 1830.92308044, 133.359909058, 124.749183655
50-image0089-640x480.jpg, 20982, 8, 63.4009838104, 36.9069576263, 2326.42483711, 265.043020248, 168.861865997
50-image0090-640x480.jpg, 20763, 8, 55.8359622955, 37.9559993744, 1822.78800011, 131.305932999, 116.563081741
