filename, fileSize [kb], RoIs, capture [ms], faceDetect [ms], convert[ms], encryption [ms], writeToDisk
../../testImages/100quality/100-image0169-640x480.jpg, 258542, 8, 40.4159, 215.638, 138.307, 48.3255, 3.16884
../../testImages/100quality/100-image0170-640x480.jpg, 262756, 8, 41.2659, 215.345, 139.413, 49.7434, 3.21783
../../testImages/100quality/100-image0171-640x480.jpg, 277073, 8, 41.8928, 243.165, 141.064, 55.6051, 8.31957
../../testImages/100quality/100-image0172-640x480.jpg, 262825, 8, 39.8849, 268.124, 179.407, 58.75, 173.509
../../testImages/100quality/100-image0173-640x480.jpg, 254801, 8, 69.8184, 242.049, 138.845, 50.3584, 3.14684
../../testImages/100quality/100-image0174-640x480.jpg, 255897, 8, 39.046, 266.3, 177.261, 58.642, 3.32483
../../testImages/100quality/100-image0175-640x480.jpg, 275633, 8, 40.7879, 214.432, 140.688, 53.3882, 3.37583
../../testImages/100quality/100-image0176-640x480.jpg, 267739, 8, 41.5429, 215.371, 140.396, 50.9244, 3.33683
../../testImages/100quality/100-image0177-640x480.jpg, 261014, 8, 42.1118, 267.822, 176.141, 63.2017, 3.61981
../../testImages/100quality/100-image0178-640x480.jpg, 259629, 8, 39.033, 267.675, 144.929, 83.2887, 2.91485
../../testImages/100quality/100-image0179-640x480.jpg, 275807, 8, 40.5129, 243.214, 140.236, 52.9393, 3.72281
../../testImages/100quality/100-image0180-640x480.jpg, 279353, 8, 39.079, 267.53, 156.873, 53.6822, 3.56882
../../testImages/100quality/100-image0181-640x480.jpg, 260222, 8, 40.2119, 215.017, 139.208, 48.9995, 3.26283
../../testImages/100quality/100-image0182-640x480.jpg, 259768, 8, 45.9656, 216.268, 138.665, 48.9015, 5.46372
../../testImages/100quality/100-image0183-640x480.jpg, 275601, 8, 40.8139, 268.202, 187.822, 89.2884, 3.33383
../../testImages/100quality/100-image0184-640x480.jpg, 267328, 8, 39.019, 216.207, 139.187, 53.4042, 658.145
../../testImages/100quality/100-image0185-640x480.jpg, 262886, 8, 54.4492, 242.856, 139.559, 49.8324, 3.41482
